"name" "age" "sex" "income" "height" "glasses" "brothers" "residence" "sport"
"Kassandra" 26 "F" 56000 171 "N" 0 "Paris" "Football"
"Amanda" 24 "F" 86000 195 "N" 1 "Manchester" "None"
"Kristen" 41 "F" 62000 158 "N" 4 "Basel" "Tennis"
"Morgan" 26 "F" 82500 177 "Y" 4 "Madrid" "Football"
"Bryce" 36 "M" 29000 179 "N" 4 "Liverpool" "None"
"Christopher" 19 "M" 72000 167 "Y" 4 "Manchester" "Football"
"Alexis" 30 "F" 70000 182 "Y" 2 "London" "Tennis"
"Sarah" 34 "F" 90000 167 "N" 0 "Milan" "Football"
"Ayreanna" 34 "F" 87500 163 "N" 0 "Liverpool" "Gym"
"Luke" 41 "M" 70000 184 "N" 2 "Liverpool" "Basketball"
"Destiny" 29 "F" 90500 167 "Y" 2 "Barcelona" "None"
"Lily" 21 "F" 65500 169 "N" 0 "Dublin" "Tennis"
"Troy" 32 "M" 60500 174 "N" 4 "Madrid" "Football"
"Robbyn" 36 "F" 60000 176 "N" 0 "Amsterdam" "Swimming"
"Allison" 19 "F" 12000 164 "N" 4 "Basel" "Swimming"
"Joshua" 39 "M" 93000 176 "N" 0 "Oslo" "Football"
"Abigail" 38 "F" 18000 171 "Y" 4 "Amsterdam" "Swimming"
"Hannah" 25 "F" 93000 158 "Y" 4 "Amsterdam" "Tennis"
"Sam" 30 "M" 93000 163 "Y" 4 "Basel" "None"
"Katherine" 44 "F" 34000 184 "N" 1 "Munich" "Gym"
"Dustin" 34 "M" 74500 188 "Y" 0 "Munich" "Football"
"Ashlea" 27 "F" 35500 174 "N" 0 "London" "None"
"Austin" 37 "M" 23500 183 "N" 4 "Rome" "None"
"Molly" 31 "F" 90500 171 "Y" 4 "Madrid" "Dance"
"Kyla" 26 "F" 84500 181 "N" 0 "Manchester" "None"
"Dalton" 35 "M" 89000 177 "N" 0 "Barcelona" "None"
"Josie" 20 "F" 22000 185 "Y" 0 "Oslo" "Tennis"
"Erin" 38 "F" 19000 162 "N" 2 "Madrid" "Football"
"Kevin" 43 "M" 98000 172 "Y" 4 "Lisbona" "Football"
"Justin" 26 "M" 54500 176 "N" 4 "Lisbona" "Athletics"
"Hannah" 20 "F" 74000 198 "N" 4 "Manchester" "Football"
"Tahlia" 31 "F" 21000 164 "Y" 2 "Vienna" "Swimming"
"Jason" 39 "M" 31000 176 "N" 1 "Manchester" "Swimming"
"Caleb" 42 "M" 84000 181 "N" 4 "Oslo" "Gym"
"Riley" 32 "M" 63500 181 "N" 4 "Madrid" "Football"
"Joshua" 22 "M" 14000 164 "Y" 1 "Milan" "Basketball"
"Joseph" 20 "M" 38500 177 "Y" 2 "Lisbona" "Football"
"Connor" 43 "M" 68500 162 "Y" 4 "Vienna" "None"
"Marcus" 18 "M" 67500 178 "Y" 1 "Madrid" "Dance"
"Ian" 28 "M" 58500 158 "Y" 1 "Dublin" "Basketball"
"Madeline" 29 "F" 86500 181 "N" 0 "Munich" "Football"
"Jessica" 28 "F" 41500 178 "N" 4 "Rome" "Tennis"
"Jacob" 44 "M" 11000 189 "N" 4 "Rome" "Tennis"
"Shelby" 18 "M" 57500 175 "N" 4 "Lisbona" "Football"
"Abbigale" 31 "F" 22000 184 "Y" 0 "Vienna" "Basketball"
"Hannah" 44 "F" 96500 168 "N" 3 "Vienna" "Athletics"
"Christopher" 38 "M" 52000 185 "N" 4 "Basel" "Football"
"Rachel" 40 "F" 30500 186 "N" 0 "Dublin" "None"
"Chandler" 21 "M" 86500 165 "Y" 0 "Barcelona" "Football"
"Julian" 22 "M" 53000 173 "Y" 4 "Dublin" "None"
"Joshua" 36 "M" 38000 168 "N" 0 "London" "Basketball"
"Raquel" 31 "F" 67500 180 "Y" 4 "Rome" "Football"
"Dylan" 41 "M" 92500 183 "N" 1 "London" "Athletics"
"Cole" 24 "M" 70500 181 "Y" 4 "Manchester" "Basketball"
"Amy" 18 "F" 39500 177 "N" 0 "Barcelona" "Dance"
"Angelica" 27 "F" 12500 157 "N" 5 "Paris" "Basketball"
"Branden" 43 "M" 1e+05 199 "N" 1 "Amsterdam" "Basketball"
"Nicholas" 22 "M" 86000 177 "N" 4 "Vienna" "Football"
"Chloe" 34 "F" 60000 173 "N" 5 "Basel" "Gym"
"James" 36 "M" 71500 183 "N" 4 "Rome" "Football"
"Angie" 22 "F" 12500 164 "Y" 2 "Munich" "Swimming"
"Andi" 36 "F" 36000 193 "N" 1 "Madrid" "Football"
"Michael" 26 "M" 11000 157 "N" 0 "Liverpool" "Football"
"Brittany" 26 "F" 60500 182 "Y" 2 "Liverpool" "Football"
"Kyle" 44 "M" 20500 190 "Y" 1 "Oslo" "Football"
"Devan" 30 "M" 92500 167 "Y" 4 "Rome" "Football"
"Alexis" 37 "F" 23000 186 "N" 4 "Amsterdam" "Gym"
"Rachel" 36 "F" 26000 182 "N" 0 "Vienna" "Basketball"
"Spencer" 41 "M" 67500 183 "Y" 0 "Basel" "Tennis"
"Emily" 25 "F" 78500 180 "N" 4 "Oslo" "None"
"Kirsten" 40 "F" 51500 188 "Y" 1 "London" "Swimming"
"Tyler" 18 "M" 39500 188 "Y" 1 "Vienna" "Football"
"Mitchell" 19 "M" 88000 163 "Y" 3 "Paris" "None"
"Darius" 24 "M" 36000 164 "Y" 2 "Dublin" "Football"
"Darius" 30 "M" 32000 181 "Y" 4 "London" "Tennis"
"Logan" 19 "M" 10000 197 "N" 2 "Rome" "Football"
"Joshua" 43 "M" 84500 188 "Y" 4 "London" "Swimming"
